,account length,international plan,voice mail plan,number vmail messages,total intl minutes,total intl calls,total intl charge,customer service calls,churn,avg_minutes,avg_calls,avg_call_duration,avg_charge,%_srv_intency,%_intl_srv_intensity
0,128,no,yes,25,10.0,3,2.7,1,False,235.73,100.0,2.36,24.29,1.0,33.33
1,107,no,yes,26,13.7,3,3.7,1,False,203.83,109.67,1.86,18.51,0.91,33.33
2,137,no,no,0,12.2,5,3.29,0,False,175.73,109.33,1.61,19.67,0.0,0.0
3,84,yes,no,0,6.6,7,1.78,2,False,186.07,82.67,2.25,21.67,2.42,28.57
4,75,yes,no,0,10.1,3,2.73,3,False,167.3,118.67,1.41,16.45,2.53,100.0
5,118,yes,no,0,6.3,6,1.7,0,False,215.97,105.67,2.04,21.97,0.0,0.0
6,121,no,yes,24,7.5,7,2.03,3,False,259.77,104.67,2.48,25.43,2.87,42.86
7,147,yes,no,0,7.1,6,1.92,0,False,157.3,89.67,1.75,14.99,0.0,0.0
8,117,no,no,0,8.7,4,2.35,1,False,250.63,89.0,2.82,23.66,1.12,25.0
9,141,yes,yes,37,11.2,5,3.02,0,False,269.0,97.33,2.76,25.84,0.0,0.0
10,65,no,no,0,12.7,6,3.43,4,True,188.8,110.33,1.71,16.92,3.63,66.67
11,74,no,no,0,9.1,5,2.46,0,False,182.37,123.0,1.48,18.21,0.0,0.0
12,168,no,no,0,11.2,2,3.02,1,False,124.93,98.33,1.27,12.39,1.02,50.0
13,95,no,no,0,12.3,5,3.32,3,False,198.83,92.67,2.15,18.77,3.24,60.0
14,62,no,no,0,13.1,6,3.54,4,False,210.3,81.67,2.57,18.59,4.9,66.67
15,161,no,no,0,5.4,9,1.46,4,True,270.43,97.33,2.78,30.28,4.11,44.44
16,85,no,yes,27,13.8,4,3.73,1,False,188.87,101.33,1.86,20.43,0.99,25.0
17,93,no,no,0,8.1,3,2.19,3,False,179.5,115.33,1.56,18.93,2.6,100.0
18,76,no,yes,33,10.0,5,2.7,1,False,189.4,79.67,2.38,19.27,1.26,20.0
19,73,no,no,0,13.0,2,3.51,1,False,192.23,84.0,2.29,20.13,1.19,50.0
20,147,no,no,0,10.6,4,2.86,0,False,201.2,114.33,1.76,18.71,0.0,0.0
21,77,no,no,0,5.7,6,1.54,5,True,147.3,91.33,1.61,11.49,5.47,83.33
22,130,no,no,0,9.5,19,2.57,0,False,145.9,96.33,1.51,15.16,0.0,0.0
23,111,no,no,0,7.7,6,2.08,2,False,145.77,103.33,1.41,12.99,1.94,33.33
24,132,no,no,0,10.3,2,2.78,0,False,187.77,91.0,2.06,15.1,0.0,0.0
25,174,no,no,0,15.5,5,4.19,3,False,217.37,101.0,2.15,18.65,2.97,60.0
26,57,no,yes,39,9.5,3,2.57,0,False,195.6,114.0,1.72,20.22,0.0,0.0
27,54,no,no,0,14.7,4,3.97,3,False,130.63,80.33,1.63,13.55,3.73,75.0
28,20,no,no,0,6.3,6,1.7,0,False,209.9,98.33,2.13,20.81,0.0,0.0
29,49,no,no,0,11.1,1,3.0,1,False,171.03,105.33,1.62,15.53,0.95,100.0
30,142,no,no,0,14.2,6,3.83,2,False,157.33,102.0,1.54,12.44,1.96,33.33
31,75,no,no,0,10.3,5,2.78,1,False,224.6,103.33,2.17,22.22,0.97,20.0
32,172,no,no,0,12.6,10,3.4,3,False,178.83,104.67,1.71,17.3,2.87,30.0
33,12,no,no,0,11.8,3,3.19,1,True,260.73,109.0,2.39,25.5,0.92,33.33
34,57,no,yes,25,8.3,4,2.24,0,False,195.1,95.0,2.05,18.75,0.0,0.0
35,72,no,yes,37,14.7,6,3.97,3,False,196.7,84.33,2.33,20.92,3.56,50.0
36,36,no,yes,30,14.5,6,3.92,0,False,146.03,105.67,1.38,14.83,0.0,0.0
37,78,no,no,0,10.0,5,2.7,1,False,194.1,96.0,2.02,17.17,1.04,20.0
38,136,yes,yes,33,10.5,6,2.84,3,False,164.4,104.0,1.58,18.4,2.88,50.0
39,149,no,no,0,11.1,9,3.0,1,False,200.17,98.0,2.04,18.48,1.02,11.11
40,98,no,no,0,9.4,2,2.54,3,False,160.3,107.33,1.49,14.7,2.8,150.0
41,135,yes,yes,41,14.6,15,3.94,0,True,166.4,90.0,1.85,17.42,0.0,0.0
42,34,no,no,0,10.0,4,2.7,2,False,239.5,86.0,2.78,19.74,2.33,50.0
